day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
146,306,25.04,0.83,-12.85,-29.23,-391.63,-24.14,591.74,-66.38,1.86,-28.6,-205.3,-17.52,12.13,-87.82,0.0,-175.96
147,306,24.72,0.38,-13.08,-29.51,-392.32,-24.47,593.13,-66.42,1.86,-28.91,-205.75,-17.52,12.26,-87.83,0.0,-176.35
148,306,24.81,-0.84,-12.95,-29.39,-393.23,-25.0,595.22,-66.53,1.8,-29.07,-206.33,-17.52,12.34,-87.91,0.0,-177.0
149,306,25.42,-0.39,-12.42,-29.99,-393.12,-26.13,596.83,-66.56,1.78,-29.02,-206.2,-17.52,12.36,-87.95,0.0,-177.58
150,306,25.49,-0.25,-12.31,-28.73,-393.95,-26.53,598.36,-66.87,1.75,-29.05,-206.61,-17.51,12.42,-88.08,0.0,-177.88
151,306,24.88,-0.14,-12.61,-29.16,-394.59,-26.89,599.53,-66.98,1.67,-29.23,-206.86,-17.52,12.43,-88.11,0.0,-178.05
152,306,24.1,1.06,-13.22,-30.43,-394.9,-26.48,599.8,-66.97,1.61,-29.37,-206.91,-17.52,12.42,-88.14,0.0,-178.43
153,306,24.04,0.68,-13.34,-30.18,-394.96,-27.17,600.74,-67.04,1.57,-29.45,-206.88,-17.52,12.61,-88.24,0.0,-178.61
154,306,23.98,2.12,-13.3,-30.35,-395.02,-27.49,601.31,-66.99,1.5,-29.39,-207.04,-17.52,12.74,-88.3,0.0,-178.8
155,306,24.76,3.14,-12.73,-30.29,-395.52,-27.03,601.6,-66.89,1.46,-29.8,-207.18,-17.52,12.79,-88.36,0.0,-179.05
156,306,24.71,1.99,-12.64,-30.49,-395.76,-27.84,602.63,-66.83,1.46,-30.0,-207.34,-17.52,12.87,-88.4,0.0,-179.03
157,306,24.24,1.3,-12.78,-31.15,-395.93,-27.6,602.71,-66.69,1.45,-29.99,-207.56,-17.52,12.94,-88.56,0.0,-179.19
158,306,24.36,0.61,-12.69,-31.35,-396.43,-26.59,602.56,-66.71,1.44,-30.16,-207.76,-17.52,12.93,-88.65,0.0,-179.55
159,306,24.53,-0.35,-12.7,-31.52,-397.26,-26.96,604.33,-66.73,1.39,-30.44,-208.29,-17.52,13.09,-88.74,0.0,-180.12
160,306,25.13,-0.91,-12.48,-31.53,-397.95,-27.08,605.35,-66.74,1.41,-30.64,-208.79,-17.52,13.11,-88.77,0.0,-180.33
161,306,25.15,-1.17,-12.41,-30.85,-398.17,-27.86,606.46,-66.78,1.46,-30.59,-208.96,-17.52,13.03,-88.8,0.0,-180.43
162,306,25.79,-0.26,-11.83,-31.7,-398.76,-27.59,607.61,-66.83,1.45,-30.68,-209.08,-17.52,12.84,-88.94,0.0,-181.26
163,305,26.38,0.83,-11.41,-32.13,-398.63,-26.96,607.91,-66.85,1.47,-30.81,-208.43,-17.57,12.85,-89.27,0.0,-182.33
164,304,26.01,0.32,-11.76,-31.96,-398.24,-27.71,608.55,-66.5,1.55,-30.84,-208.68,-17.62,13.0,-89.14,0.0,-182.6
165,304,25.14,0.41,-12.31,-31.11,-398.78,-28.42,610.15,-66.69,1.55,-30.74,-208.7,-17.62,12.87,-89.43,0.0,-182.96
166,304,24.46,-0.36,-12.89,-32.39,-399.62,-29.67,612.64,-66.75,1.53,-30.84,-209.0,-17.62,12.86,-89.79,0.0,-183.36
167,304,24.32,-1.81,-12.95,-32.41,-400.44,-28.71,612.56,-66.94,1.51,-31.23,-209.16,-17.62,12.91,-89.9,0.0,-183.41
168,303,24.51,-4.17,-12.6,-31.61,-401.0,-27.64,613.31,-66.99,1.49,-31.33,-209.45,-17.66,13.07,-90.13,0.0,-184.68
169,303,24.62,-3.65,-12.62,-32.46,-401.96,-27.27,613.55,-66.93,1.48,-31.45,-209.95,-17.66,12.9,-90.34,0.0,-184.32
170,303,24.42,-5.0,-12.76,-32.63,-402.26,-27.27,614.27,-67.05,1.48,-31.09,-210.47,-17.65,12.89,-90.38,0.0,-184.75
171,303,25.17,-5.59,-12.27,-32.07,-403.86,-26.65,615.66,-67.84,1.47,-31.23,-210.9,-17.65,12.86,-90.56,0.0,-185.15
172,303,25.2,-5.26,-12.1,-32.68,-403.81,-27.28,616.57,-68.11,1.54,-31.1,-210.88,-17.66,13.13,-90.72,0.0,-185.49
173,303,24.22,-5.8,-12.53,-33.23,-404.45,-27.17,617.17,-68.35,1.6,-31.26,-211.07,-17.66,13.06,-90.76,0.0,-185.55
174,302,23.8,-5.36,-12.74,-32.76,-404.19,-26.18,612.76,-68.61,1.59,-31.03,-211.26,-17.71,13.35,-90.53,0.0,-182.38
175,302,22.94,-7.19,-13.45,-32.87,-404.9,-26.67,614.01,-68.89,1.56,-31.22,-211.41,-17.71,13.44,-90.66,0.0,-182.44
176,302,23.36,-7.23,-13.07,-33.79,-405.35,-26.05,614.02,-68.82,1.56,-31.51,-211.69,-17.71,13.52,-90.69,0.0,-182.62
177,301,23.52,-7.73,-12.76,-34.03,-405.57,-26.28,614.38,-68.75,1.64,-31.46,-211.94,-17.75,13.64,-90.95,0.0,-182.53
178,300,23.03,-7.91,-13.03,-33.51,-404.55,-25.88,613.55,-68.98,1.68,-31.47,-211.81,-17.81,13.81,-89.96,0.0,-183.12
179,300,22.17,-6.97,-13.46,-33.88,-404.87,-25.82,614.22,-69.05,1.73,-31.62,-211.95,-17.81,13.9,-90.06,0.0,-183.53
180,300,21.84,-7.2,-13.71,-34.68,-406.07,-26.04,616.03,-69.12,1.66,-31.87,-212.2,-17.8,13.56,-90.3,0.0,-183.92
181,300,22.43,-6.81,-13.41,-33.69,-406.53,-26.31,616.75,-69.12,1.67,-32.27,-212.17,-17.79,13.5,-90.34,0.0,-183.92
182,300,22.19,-6.91,-13.43,-33.56,-406.81,-25.74,616.66,-69.05,1.69,-32.27,-212.43,-17.8,13.47,-90.4,0.0,-184.1
183,299,20.91,-7.57,-14.42,-33.68,-406.03,-24.68,614.49,-69.05,1.6,-32.21,-212.62,-17.72,13.31,-89.34,0.0,-183.78
184,297,20.29,-9.46,-14.66,-33.61,-406.04,-24.54,614.91,-69.07,1.73,-32.52,-213.43,-17.04,13.27,-88.98,0.0,-184.33
185,296,19.67,-9.49,-14.74,-34.54,-406.29,-24.2,615.26,-68.61,1.77,-32.93,-213.97,-17.09,13.54,-89.0,0.0,-184.78
186,296,19.34,-10.82,-14.77,-34.32,-406.12,-24.57,615.6,-68.19,1.75,-32.83,-214.24,-17.09,13.5,-89.02,0.0,-184.91
187,296,19.67,-10.1,-14.59,-33.91,-406.27,-24.74,615.95,-68.21,1.75,-32.71,-214.38,-17.16,13.46,-89.02,0.0,-184.95
188,296,20.06,-9.93,-14.38,-33.86,-407.09,-24.75,617.32,-68.29,1.71,-32.78,-214.61,-17.16,13.16,-89.12,0.0,-185.48
189,296,20.26,-9.05,-14.35,-34.41,-407.58,-24.6,617.81,-68.53,1.72,-32.8,-214.63,-17.15,12.97,-89.14,0.0,-185.64
190,295,20.46,-9.46,-14.38,-34.79,-408.55,-24.16,618.71,-68.87,1.66,-32.83,-215.32,-17.23,12.92,-88.88,0.0,-186.01
191,295,20.99,-8.75,-14.0,-34.99,-408.41,-23.87,618.58,-68.81,1.68,-32.84,-215.31,-17.36,13.13,-88.89,0.0,-186.3
192,295,21.5,-7.84,-13.5,-33.97,-408.95,-24.48,620.62,-68.92,1.65,-32.9,-215.42,-17.43,12.98,-88.9,0.0,-187.18
193,295,20.95,-7.41,-13.98,-34.42,-409.45,-23.2,622.81,-69.06,1.66,-33.01,-215.56,-17.42,12.9,-88.94,0.0,-190.16
