day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
237,353,28.0,-2.28,-8.81,-33.91,-446.59,-23.69,696.04,-75.88,2.01,-31.51,-236.46,-17.91,14.27,-101.11,0.0,-225.76
238,353,28.03,-1.82,-9.03,-33.81,-446.6,-24.77,697.29,-75.81,2.01,-31.42,-236.47,-17.91,14.26,-101.26,0.0,-225.93
239,353,27.12,-3.67,-9.67,-33.7,-446.65,-25.36,697.92,-75.72,2.01,-31.2,-236.58,-17.94,14.12,-101.34,0.0,-225.91
240,353,26.41,-5.2,-10.3,-33.62,-447.17,-25.45,698.76,-75.96,1.98,-31.2,-236.68,-17.95,14.08,-101.44,0.0,-226.15
241,353,26.44,-6.0,-10.19,-33.24,-447.43,-25.4,699.21,-75.97,2.06,-31.22,-236.65,-17.95,14.0,-101.7,0.0,-226.38
242,352,26.87,-4.89,-9.91,-33.86,-446.82,-24.88,698.82,-75.84,2.1,-31.07,-236.71,-17.99,14.11,-101.42,0.0,-227.12
243,351,27.44,-5.9,-9.68,-34.99,-447.58,-25.4,700.98,-76.34,2.04,-31.31,-236.27,-18.02,14.16,-101.83,0.0,-228.0
244,351,27.22,-4.8,-9.73,-34.0,-448.34,-26.43,703.17,-76.41,1.98,-31.41,-236.53,-18.03,13.92,-101.86,0.0,-228.41
245,351,27.17,-7.04,-9.6,-35.62,-448.6,-26.91,704.01,-76.42,1.98,-31.47,-236.54,-18.03,13.73,-101.85,0.0,-228.5
246,351,27.71,-7.85,-9.15,-35.51,-450.11,-24.45,703.47,-77.15,2.0,-31.94,-236.58,-18.1,13.53,-101.88,0.0,-228.9
247,351,27.71,-5.93,-9.07,-35.8,-451.39,-22.9,703.33,-77.18,2.02,-33.16,-236.55,-18.1,13.54,-101.97,0.0,-229.04
248,351,28.41,-8.38,-8.86,-35.87,-450.94,-23.86,705.55,-77.55,2.03,-33.29,-235.41,-18.24,13.64,-102.11,0.0,-230.75
249,351,28.31,-4.83,-9.06,-35.52,-451.14,-24.54,707.07,-77.55,2.06,-33.2,-235.4,-18.25,13.65,-102.45,0.0,-231.39
250,351,28.21,-4.25,-9.02,-34.7,-452.32,-24.76,708.9,-77.68,2.04,-33.35,-235.85,-18.63,13.69,-102.53,0.0,-231.82
